customer_id,snapshot_year,exposure_at_default,recovered_amount,annual_income,credit_score_internal,rating_grade,default_flag,batch_run_date,recovery_rate,lgd,log_ead,log_income,score_bin,segment_type,loan_size_bucket,loan_purpose,collateral_type,loan_term,payment_history,default_history,recovery_type
152,2024,57670.35,18662.99,65160.26,746,6,0,2024-06-06,0.84,0.94,10.637784,11.359332,0,Retail,1,consumption,vehicle,36,4,4,partial
154,2024,80593.72,28183.0,38101.29,408,2,1,2024-02-02,0.51,0.1,8.097692,12.091607,2,Retail,1,consumption,none,12,4,3,partial
155,2024,54301.75,22534.32,90787.07,616,2,0,2024-06-24,0.79,0.85,11.115205,12.138063,3,Retail,1,investment,vehicle,48,3,3,partial
169,2024,66503.86,33602.8,131008.29,467,4,1,2024-01-22,0.18,0.0,11.346475,10.102282,2,Retail,0,investment,vehicle,24,0,2,partial
176,2024,74047.72,29177.85,174943.81,734,1,0,2024-06-30,0.57,0.88,10.4943,12.195677,0,Retail,2,business,none,36,4,4,partial
177,2024,52496.64,26287.81,82315.44,741,3,1,2024-04-19,0.98,0.02,8.623044,11.90365,2,Retail,2,renovation,none,60,4,4,partial
180,2023,43254.89,12476.22,137681.62,517,6,0,2024-01-04,0.29,0.76,11.499757,11.641069,3,Retail,1,renovation,none,48,0,0,partial
187,2023,87789.87,100.93,83035.76,521,2,0,2024-06-20,0.79,0.36,10.207552,11.408853,4,Corporate,2,consumption,property,12,0,4,partial
188,2024,42333.1,8704.08,131099.52,827,5,0,2024-05-19,0.49,0.74,9.513144,11.638097,1,Corporate,1,business,vehicle,60,1,2,partial
192,2024,46732.34,5853.3,179265.43,577,6,0,2024-03-14,0.04,0.4,10.534932,11.270006,1,Corporate,0,renovation,vehicle,12,3,3,partial
193,2024,99043.79,22454.24,61644.38,765,4,0,2024-04-28,0.76,0.07,11.213416,11.791199,4,Corporate,2,renovation,property,36,0,0,partial
211,2023,1023.51,30612.91,92763.5,329,4,0,2024-06-28,0.17,0.77,10.312239,10.511552,0,Retail,0,business,property,48,1,3,partial
213,2024,19361.82,10654.25,198787.74,658,2,1,2024-04-02,0.63,0.07,10.966414,11.789064,2,Retail,0,investment,none,12,0,4,partial
214,2023,39012.43,46952.85,176340.27,587,2,0,2024-03-05,0.09,0.92,10.648787,11.149989,2,Retail,2,business,vehicle,60,2,1,partial
217,2023,93326.4,334.11,121635.17,385,2,1,2024-03-05,0.95,0.05,9.446174,10.050841,4,Corporate,3,business,property,60,2,3,partial
221,2023,7932.94,38615.05,112992.97,533,7,1,2024-01-10,0.29,0.48,10.425236,11.690972,4,Corporate,1,renovation,property,24,2,4,partial
222,2023,1939.06,31260.24,71228.07,612,3,0,2024-05-25,0.23,0.72,11.194965,11.729017,3,Corporate,2,consumption,vehicle,12,0,2,partial
230,2023,6215.7,18677.74,113097.7,664,2,0,2024-02-16,0.13,0.39,11.028245,11.480231,3,Retail,0,renovation,vehicle,48,4,4,partial
231,2024,9765.8,2524.45,172672.67,568,6,0,2024-03-06,0.95,0.22,9.461804,10.404642,1,Retail,1,renovation,vehicle,48,4,0,partial
249,2024,4722.08,31374.33,143331.41,430,6,0,2024-02-18,0.71,0.76,9.750914,12.105162,0,Corporate,0,renovation,none,24,2,1,partial
252,2024,48498.35,19280.68,72207.93,650,7,0,2024-01-22,0.74,0.78,11.073391,11.77574,0,Retail,1,business,property,60,3,1,partial
262,2024,58494.96,46813.36,56263.51,479,7,1,2024-03-26,0.5,0.92,11.308716,10.617158,4,Retail,2,business,none,12,1,1,partial
277,2024,27897.01,27099.5,67737.54,779,1,0,2024-01-26,0.47,0.38,10.480072,11.625973,1,Retail,0,renovation,vehicle,60,2,2,partial
278,2023,40430.45,46982.58,50556.66,462,5,0,2024-05-16,0.11,0.51,11.001045,11.603742,1,Corporate,1,renovation,vehicle,12,1,1,partial
287,2024,10078.23,11024.18,37215.33,395,2,0,2024-05-28,0.56,0.36,9.792261,10.337648,3,Retail,1,consumption,property,12,1,3,partial
288,2024,34300.68,36286.3,95444.51,809,6,1,2024-04-04,0.25,0.26,10.368078,11.769394,2,Corporate,2,investment,none,12,2,2,partial
301,2023,52729.4,30862.45,40393.93,664,7,0,2024-04-16,0.98,0.75,8.008948,12.016725,0,Corporate,1,renovation,none,60,4,4,partial
302,2024,73494.91,36970.41,50944.26,652,6,0,2024-05-13,0.8,0.34,11.252344,11.950034,1,Retail,1,business,none,60,3,0,partial
305,2023,1331.29,10733.39,118518.44,735,6,0,2024-01-14,0.41,0.43,10.614007,10.942624,3,Retail,0,investment,vehicle,60,2,2,partial
325,2024,47263.77,33249.73,49627.87,382,7,0,2024-06-09,0.15,0.4,11.312001,12.073761,3,Retail,2,investment,property,36,1,0,partial
326,2023,30403.28,24902.02,31498.36,524,3,1,2024-03-11,0.79,0.71,11.172263,11.310302,3,Corporate,2,consumption,none,60,0,2,partial
330,2024,85429.36,37141.25,77129.99,711,7,1,2024-05-31,0.12,0.92,11.327158,12.156738,2,Corporate,0,investment,vehicle,24,0,4,partial
335,2024,71839.78,16352.23,59657.44,417,7,0,2024-03-15,0.19,0.67,10.284701,10.401703,1,Retail,3,renovation,vehicle,36,1,0,partial
337,2023,59321.74,44502.85,112754.93,781,5,0,2024-04-29,0.21,0.47,9.869246,11.585419,4,Retail,0,renovation,none,12,2,2,partial
352,2023,28449.3,4215.07,38426.08,491,7,0,2024-04-21,0.56,0.78,11.484728,11.755741,4,Corporate,0,business,property,48,4,0,partial
359,2023,91123.57,40359.47,155318.74,406,4,0,2024-02-20,0.79,0.64,11.18465,11.075629,3,Corporate,3,renovation,property,36,2,1,partial
366,2023,5464.97,43065.98,183122.03,681,7,0,2024-05-09,0.31,0.06,11.333454,11.975712,3,Corporate,1,renovation,none,36,3,1,partial
369,2023,11837.29,40862.62,153818.33,689,6,0,2024-05-22,0.08,0.1,7.741188,11.796917,2,Corporate,2,consumption,vehicle,12,0,1,partial
375,2023,39771.38,25636.32,115908.87,543,2,0,2024-06-11,0.46,0.04,10.493846,10.05452,3,Corporate,2,investment,vehicle,60,1,3,partial
382,2023,13319.32,21919.25,174920.21,767,6,1,2024-02-05,0.75,0.46,11.219089,11.771493,1,Retail,3,consumption,none,60,4,1,partial
386,2023,95685.15,49813.11,145085.31,837,5,0,2024-04-27,0.22,0.83,9.073524,11.594202,3,Corporate,2,investment,vehicle,36,2,1,partial
389,2024,80000.94,11458.6,21899.2,509,4,1,2024-06-15,0.22,0.31,10.953744,10.92028,3,Corporate,3,consumption,vehicle,60,3,4,partial
393,2024,26639.28,27343.8,90936.23,372,7,0,2024-01-04,0.95,0.38,10.680038,12.202244,1,Retail,1,business,none,36,2,0,partial
395,2023,59266.87,33533.78,173171.34,608,3,0,2024-01-06,0.95,0.91,7.917549,12.108957,0,Corporate,3,consumption,vehicle,48,3,0,partial
401,2024,98250.72,35043.38,82254.59,485,1,1,2024-06-06,0.99,0.84,10.100804,11.193441,4,Corporate,2,consumption,none,48,2,1,partial
417,2024,88535.7,10201.23,26338.73,552,7,0,2024-04-19,0.81,0.67,10.281767,11.673289,3,Retail,2,business,none,12,4,0,partial
419,2024,60479.05,32699.7,154312.33,312,2,0,2024-04-08,0.19,0.27,9.398904,11.251189,1,Corporate,3,renovation,none,24,4,2,partial
423,2024,90468.67,40918.48,164366.89,598,1,0,2024-05-01,0.21,0.12,11.05916,11.980365,4,Retail,2,renovation,vehicle,24,1,1,partial
428,2023,98929.31,2500.93,48906.87,375,3,0,2024-04-26,0.34,0.02,10.126567,12.141324,2,Corporate,3,business,none,60,4,1,partial
435,2024,74591.93,45576.06,116721.29,350,5,1,2024-04-05,0.32,0.11,10.257145,11.345573,0,Corporate,2,business,vehicle,24,3,3,partial
439,2023,7433.65,1475.2,54551.98,448,5,1,2024-03-07,0.96,0.29,11.406749,12.013738,3,Retail,0,consumption,none,48,1,2,partial
457,2024,40756.44,17798.55,149462.2,421,3,0,2024-04-29,0.79,0.55,10.763127,11.605636,0,Corporate,1,business,property,12,4,1,partial
474,2024,83944.75,790.66,68879.08,510,6,0,2024-01-15,0.72,0.06,10.592167,11.422838,3,Corporate,2,business,vehicle,48,0,1,partial
477,2024,23826.35,3857.26,76918.72,579,3,0,2024-01-17,0.19,0.14,11.193605,12.149063,3,Retail,2,investment,vehicle,36,3,0,partial
488,2023,83233.61,45558.41,172094.75,837,7,0,2024-01-18,0.91,0.18,11.419194,11.625127,3,Corporate,2,investment,vehicle,60,1,1,partial
496,2024,12913.54,17743.04,105738.02,455,2,0,2024-04-24,0.83,0.63,8.154672,11.553442,0,Corporate,3,renovation,property,60,3,1,partial
522,2023,5647.59,21238.58,140555.8,537,4,0,2024-05-26,0.16,0.62,10.722753,11.856793,2,Corporate,2,business,none,24,1,1,partial
548,2024,39024.97,10767.22,92427.15,675,7,0,2024-03-16,0.87,0.55,11.026278,11.112793,1,Corporate,3,consumption,property,36,3,1,partial
550,2023,4636.46,29854.79,73641.23,381,7,0,2024-03-28,0.27,0.25,10.390187,11.270392,1,Corporate,2,renovation,none,24,0,3,partial
554,2024,95769.76,29740.16,132586.05,791,7,0,2024-05-31,0.08,0.37,11.257638,12.142969,2,Retail,0,renovation,none,24,4,2,partial
556,2023,82794.36,18610.02,47874.36,655,1,0,2024-03-31,0.66,0.1,11.484292,11.864542,2,Corporate,0,renovation,none,24,2,3,partial
567,2023,80276.2,16651.74,87139.97,572,1,0,2024-02-17,0.65,0.23,11.4553,12.036444,3,Corporate,1,business,none,36,2,0,partial
572,2024,63348.01,44248.22,57626.67,343,5,1,2024-06-06,0.09,0.9,10.21586,11.138975,3,Retail,3,business,none,24,2,4,partial
576,2023,22416.08,19164.21,145243.09,422,7,1,2024-01-15,0.32,0.98,10.060854,11.67745,1,Retail,1,consumption,property,60,1,1,partial
577,2024,52307.78,24675.05,189957.59,648,6,0,2024-06-23,0.99,0.65,11.46994,12.179997,3,Retail,2,consumption,vehicle,24,4,0,partial
584,2024,60130.13,14165.24,199191.97,629,5,0,2024-05-02,0.68,0.92,10.745167,11.256325,3,Retail,2,renovation,property,36,1,4,partial
585,2024,52978.12,39338.48,101049.83,708,2,1,2024-05-06,0.73,0.64,9.981489,10.797262,2,Corporate,0,business,vehicle,36,1,1,partial
591,2024,26763.1,19872.41,65455.47,622,3,1,2024-06-20,0.21,0.03,11.170346,11.625901,0,Corporate,1,consumption,vehicle,48,1,1,partial
593,2024,52009.54,25680.55,99709.29,410,1,1,2024-04-07,0.08,1.0,10.280506,11.405438,4,Corporate,2,investment,vehicle,24,1,4,partial
595,2024,49627.45,12667.86,172508.49,388,7,0,2024-06-03,0.28,0.1,10.220429,10.793946,4,Corporate,2,investment,property,36,4,3,partial
612,2024,99637.24,49382.98,57081.02,732,2,1,2024-03-24,0.25,0.68,11.385622,12.10038,3,Corporate,3,renovation,none,24,2,4,partial
616,2024,89846.18,14574.79,191377.22,398,5,0,2024-02-10,0.23,0.25,9.74604,12.197694,3,Corporate,2,investment,none,12,3,4,partial
618,2024,46874.69,38537.13,81535.84,838,5,1,2024-04-05,0.19,0.39,8.905973,11.714607,4,Corporate,1,renovation,vehicle,60,1,2,partial
623,2024,62670.8,21374.78,197444.66,445,1,1,2024-03-08,0.57,0.65,10.227398,11.979441,2,Retail,0,business,none,60,4,1,partial
624,2024,75039.29,10310.87,170949.6,556,5,0,2024-01-05,0.33,0.44,11.02008,12.070413,4,Corporate,0,renovation,none,24,0,1,partial
627,2023,4451.65,39985.94,165542.7,488,6,1,2024-02-22,0.82,0.25,9.486964,11.892579,4,Retail,2,renovation,property,60,3,3,partial
631,2023,89597.22,16680.34,77222.84,539,5,0,2024-05-01,0.18,0.33,10.772453,10.23814,4,Retail,2,business,none,60,1,3,partial
635,2024,86152.55,43259.67,21579.9,802,4,1,2024-05-15,0.46,0.34,11.052593,10.786742,3,Retail,2,consumption,none,12,1,2,partial
645,2024,46285.78,45762.86,88783.92,570,3,0,2024-01-22,0.01,0.96,11.350712,10.397545,3,Corporate,3,consumption,property,60,3,2,partial
655,2024,39725.81,42991.19,74325.69,819,5,1,2024-04-15,0.48,0.8,10.075678,9.988717,4,Corporate,2,consumption,none,60,3,2,partial
664,2024,28022.98,1750.4,26731.46,849,4,0,2024-01-07,0.06,0.46,11.313478,11.226314,3,Retail,2,consumption,vehicle,36,1,3,partial
669,2024,48191.01,39368.67,110965.75,413,2,1,2024-05-29,0.98,0.2,10.096449,11.414486,4,Corporate,3,renovation,property,60,4,4,partial
670,2024,5393.29,20566.97,92545.64,638,5,0,2024-02-15,0.79,0.81,11.127276,11.057004,2,Corporate,1,consumption,none,24,0,1,partial
673,2024,85367.16,43686.15,134220.16,658,6,0,2024-01-30,0.49,0.16,10.683676,10.361856,3,Retail,3,investment,none,60,4,1,partial
680,2024,4506.81,31897.71,131813.54,633,2,0,2024-05-05,0.09,0.21,9.421771,11.655955,0,Retail,0,investment,property,24,2,0,partial
681,2023,33576.09,41682.16,41734.39,468,7,1,2024-04-10,0.59,0.37,11.180428,11.144734,3,Corporate,3,consumption,vehicle,60,2,3,partial
691,2024,93227.36,24971.59,195853.8,638,5,0,2024-05-23,0.76,0.88,10.023912,12.003269,2,Retail,3,investment,property,24,2,3,partial
694,2023,73786.05,26751.28,53647.66,560,1,0,2024-03-19,0.19,0.13,9.824808,9.973502,2,Retail,1,investment,vehicle,60,1,2,partial
698,2024,28857.71,7219.38,100149.32,498,4,0,2024-05-12,0.57,0.12,10.504382,12.053247,3,Retail,1,business,property,24,0,0,partial
700,2024,26012.26,39199.37,107861.16,510,4,1,2024-03-07,0.81,0.49,11.0925,12.164504,1,Corporate,2,business,none,60,0,0,partial
701,2023,1503.13,20969.48,166351.3,586,1,0,2024-01-23,0.77,0.28,10.092729,11.911066,4,Corporate,3,consumption,property,12,1,3,partial
705,2024,69875.71,25004.01,37861.33,771,3,0,2024-03-14,0.8,0.57,9.861805,11.93201,4,Retail,1,renovation,property,36,1,2,partial
717,2023,5829.57,39254.89,97155.97,781,7,0,2024-01-05,0.88,0.45,7.594084,12.144422,2,Retail,0,renovation,vehicle,36,1,1,partial
719,2024,53727.65,29942.27,133130.39,322,6,0,2024-05-30,0.94,0.43,10.772554,10.961865,3,Corporate,2,business,property,36,0,2,partial
742,2024,96250.08,10054.94,58728.01,408,4,0,2024-03-22,0.41,0.11,10.679065,12.201175,1,Corporate,3,business,vehicle,36,1,1,partial
744,2023,11837.42,29511.63,132944.22,595,2,0,2024-01-25,0.57,0.14,10.092201,11.97809,0,Corporate,0,renovation,property,12,3,3,partial
747,2024,89553.51,20381.64,186259.67,305,6,1,2024-01-08,0.79,0.82,8.750297,11.923602,4,Corporate,1,consumption,none,12,3,2,partial
755,2023,99156.06,23476.28,199553.26,849,4,1,2024-05-28,0.7,0.89,10.680455,11.350375,1,Corporate,2,renovation,property,60,3,0,partial
767,2024,7090.19,1415.56,25841.19,502,7,0,2024-01-02,1.0,0.23,11.277625,11.68048,4,Corporate,0,renovation,none,12,1,4,full
768,2023,88407.72,10501.47,62405.88,624,3,0,2024-01-22,0.01,0.11,11.181834,11.832878,3,Retail,3,investment,vehicle,36,3,0,partial
773,2023,52091.82,14051.9,75855.28,543,7,0,2024-03-12,0.36,0.05,11.364654,11.787999,4,Retail,0,renovation,vehicle,48,1,1,partial
783,2024,90744.86,35648.0,91842.7,626,2,0,2024-03-27,0.28,0.61,7.575424,11.897495,0,Retail,2,business,vehicle,60,3,3,partial
785,2024,57560.58,574.62,63606.29,346,7,1,2024-03-12,0.26,0.72,11.479126,10.458226,3,Corporate,3,consumption,vehicle,24,1,2,partial
789,2023,66549.09,20438.86,56627.84,312,6,0,2024-03-08,0.22,0.37,10.457396,11.338783,2,Retail,3,renovation,property,36,4,3,partial
790,2024,54834.11,46201.34,191819.69,679,2,0,2024-03-04,0.71,0.68,11.503384,11.493957,1,Retail,0,investment,property,36,2,3,partial
791,2024,86584.8,5594.03,185333.89,664,1,0,2024-04-03,0.08,0.71,10.166249,11.111168,4,Retail,2,business,property,36,4,1,partial
792,2024,73657.08,25821.22,28458.65,641,5,1,2024-01-19,0.74,0.94,10.772332,10.841029,3,Retail,3,business,none,12,2,3,partial
796,2023,52604.77,39326.12,80986.34,520,1,0,2024-05-07,0.69,0.06,10.49238,10.714594,3,Retail,2,investment,property,24,2,2,partial
797,2023,86947.92,47126.57,92926.74,372,6,0,2024-03-27,0.25,0.19,10.497403,11.361521,4,Retail,1,business,none,60,3,0,partial
799,2023,25283.27,37338.83,63022.62,345,5,0,2024-03-22,0.25,0.07,11.343168,11.597455,2,Retail,0,investment,none,36,2,3,partial
804,2023,16576.73,36028.28,133197.12,803,1,1,2024-06-29,0.63,0.87,11.223862,10.352547,4,Corporate,2,business,property,24,2,2,partial
808,2023,16879.61,41324.4,135268.53,573,5,1,2024-03-27,0.76,0.79,11.505135,12.15669,2,Retail,1,business,none,48,4,2,partial
810,2023,34066.88,22310.06,173090.76,507,4,0,2024-04-06,0.88,0.57,11.03067,11.968734,4,Retail,1,business,vehicle,12,2,1,partial
811,2023,24630.31,40292.23,153356.47,423,7,0,2024-02-21,0.85,0.08,10.754992,11.928699,3,Corporate,2,business,property,36,1,3,partial
822,2023,93078.94,398.22,117663.2,309,2,1,2024-06-23,0.96,0.27,9.202138,10.841851,0,Retail,2,investment,property,24,1,1,partial
823,2023,11477.58,46228.05,137645.62,628,5,0,2024-03-22,0.58,0.3,11.509525,11.765124,0,Corporate,0,renovation,none,24,3,0,partial
826,2024,70200.08,22165.33,69317.98,486,4,0,2024-06-30,0.91,0.56,10.925984,11.655739,3,Retail,0,business,property,36,4,0,partial
832,2023,19732.93,27669.01,126750.11,842,7,0,2024-06-20,0.81,0.26,11.161213,12.190174,0,Corporate,3,investment,property,24,0,2,partial
839,2024,88282.08,12744.11,108060.91,359,7,0,2024-04-06,0.89,0.07,10.627855,11.948479,2,Retail,0,investment,none,24,4,3,partial
840,2024,96170.21,37126.54,44002.0,741,3,0,2024-05-14,0.01,0.73,10.919168,11.725114,3,Retail,2,investment,property,60,0,2,partial
842,2024,47081.53,3831.79,63657.97,516,1,1,2024-04-24,0.97,0.3,11.454408,12.061898,2,Retail,3,renovation,property,12,2,3,partial
844,2023,88028.08,43631.79,72504.82,301,3,0,2024-04-01,0.47,0.45,9.768614,10.777246,3,Retail,1,consumption,property,60,0,1,partial
863,2023,1509.37,41405.84,186375.72,835,6,0,2024-01-01,0.8,0.13,10.307147,10.03188,2,Retail,1,investment,none,12,2,0,partial
867,2023,82174.74,10803.01,61469.6,655,4,1,2024-03-03,0.13,0.8,9.68377,11.879255,2,Corporate,2,investment,property,12,4,0,partial
875,2023,23633.89,40466.22,72063.9,464,3,0,2024-06-15,0.4,0.57,11.282636,10.537337,0,Retail,3,investment,property,60,4,1,partial
877,2024,90961.43,39317.89,86483.74,390,3,0,2024-01-19,0.27,0.9,8.873955,10.615924,3,Corporate,3,renovation,property,36,3,4,partial
884,2023,1110.89,31610.83,139473.69,466,7,0,2024-01-31,0.29,0.5,9.114108,11.944991,4,Retail,0,business,vehicle,24,3,4,partial
886,2023,56061.99,18676.01,41282.91,506,4,1,2024-03-17,0.12,0.94,10.327183,11.137465,0,Retail,1,renovation,property,48,2,4,partial
893,2023,75906.94,13574.94,191710.14,581,7,1,2024-04-30,0.81,0.89,10.857183,11.799266,2,Retail,1,investment,none,60,2,3,partial
895,2023,26610.14,11589.18,175802.82,364,2,1,2024-01-24,0.01,0.58,10.626732,12.128836,2,Corporate,0,consumption,vehicle,60,1,1,partial
897,2023,20120.15,15930.45,123898.89,815,5,1,2024-03-09,0.31,0.93,8.601133,11.251124,4,Corporate,1,investment,none,36,1,3,partial
898,2024,9325.72,45177.92,141326.82,456,6,0,2024-06-09,0.17,0.32,11.469941,10.986765,4,Corporate,0,business,property,24,1,3,partial
902,2023,33316.92,3882.04,22998.88,605,6,0,2024-02-28,0.59,0.37,11.465153,10.575981,2,Corporate,1,consumption,property,60,4,1,partial
904,2024,56424.59,41443.56,81010.06,694,1,1,2024-04-23,0.25,0.05,10.263163,10.680154,4,Corporate,1,consumption,property,48,0,3,partial
909,2023,12468.54,17444.5,163218.84,373,7,0,2024-06-09,0.26,0.59,11.203979,10.348208,1,Retail,1,renovation,vehicle,24,2,1,partial
911,2024,38292.84,26079.97,33946.94,486,5,0,2024-06-08,0.49,0.72,10.973014,10.48505,0,Retail,0,renovation,property,60,3,4,partial
918,2023,1898.17,39724.28,70816.49,636,1,0,2024-04-10,0.65,0.77,10.106885,11.490289,3,Corporate,1,business,none,60,2,4,partial
926,2023,82049.26,44218.83,125353.43,539,6,0,2024-06-17,0.12,0.15,10.201961,11.26134,4,Corporate,1,renovation,vehicle,12,0,3,partial
934,2024,13716.42,17239.07,66154.34,832,5,1,2024-01-12,0.18,0.44,10.812253,11.899425,4,Retail,3,business,none,12,2,0,partial
945,2024,29050.95,23092.17,188116.04,440,3,0,2024-04-28,0.25,0.18,10.657388,12.081895,1,Retail,1,consumption,none,60,3,1,partial
946,2024,2824.34,20725.8,43590.55,564,2,0,2024-05-18,0.97,0.66,10.303361,11.990774,3,Corporate,2,consumption,none,36,3,2,partial
952,2023,43791.84,662.55,163530.98,438,3,1,2024-04-06,0.4,0.16,11.301521,11.657162,1,Corporate,1,consumption,none,12,0,2,partial
953,2024,84172.03,14797.14,111430.76,758,2,0,2024-05-26,0.6,0.9,10.792732,10.556869,3,Retail,1,business,none,60,3,3,partial
954,2023,39822.97,22959.46,155059.54,369,7,0,2024-06-30,0.24,0.23,11.094845,11.903339,0,Corporate,3,renovation,property,24,4,0,partial
955,2023,18770.24,20554.68,75928.76,684,4,0,2024-02-26,0.49,0.29,9.890356,11.354049,4,Retail,3,renovation,none,48,3,1,partial
962,2024,75616.18,36096.46,112608.13,497,1,1,2024-02-11,0.07,0.85,10.893368,10.474977,0,Corporate,0,renovation,none,12,0,4,partial
967,2024,79091.89,19240.18,174230.36,504,1,1,2024-04-07,0.03,0.46,10.388399,12.053183,3,Corporate,0,investment,property,60,0,3,partial
975,2023,18201.59,24468.82,104038.06,730,4,1,2024-01-31,0.47,0.02,10.880232,11.300722,4,Retail,2,consumption,vehicle,12,2,1,partial
976,2023,77314.56,21480.43,84749.58,624,5,1,2024-06-28,0.4,0.49,11.268338,10.990125,1,Retail,3,consumption,property,24,3,1,partial
988,2024,94782.49,37031.31,116507.97,741,4,0,2024-01-02,0.14,0.08,11.253162,12.083127,2,Corporate,0,investment,vehicle,36,3,1,partial
992,2024,17471.38,43148.62,149125.3,587,7,1,2024-06-14,0.69,0.99,10.493185,12.113876,1,Retail,0,consumption,none,60,0,0,partial
2,2024,77327.44,26594.45,99841.4,525,6,1,2024-02-01,0.99,0.59,11.15245,11.302399,2,Corporate,0,consumption,property,24,2,1,partial
5,2023,71148.63,39471.61,188997.86,363,4,0,2024-05-17,0.4,0.26,11.453056,11.336967,1,Corporate,3,investment,vehicle,48,2,0,partial
8,2023,47883.81,14839.33,73090.25,797,2,0,2024-04-14,0.62,0.56,11.049973,11.730728,3,Retail,3,consumption,vehicle,60,4,0,partial
9,2023,6734.13,27068.48,105583.45,359,6,1,2024-05-15,0.96,0.08,9.661008,11.93177,0,Retail,2,renovation,property,48,4,1,partial
11,2023,8394.75,17261.5,156246.98,696,4,1,2024-03-15,0.83,0.8,11.13155,10.353539,2,Retail,3,investment,property,36,0,4,partial
18,2023,85389.05,20710.05,144041.8,556,1,1,2024-04-14,0.46,0.93,9.340187,11.750389,3,Corporate,3,consumption,property,60,2,1,partial
23,2023,99024.69,36620.69,175455.39,538,3,1,2024-05-27,0.74,0.87,11.377563,12.162688,0,Retail,3,renovation,property,60,2,4,partial
48,2024,67929.17,44083.12,199425.65,337,2,0,2024-05-27,0.13,0.34,10.861887,11.1151,0,Retail,2,business,property,24,4,3,partial
